id;the_geom;type;crossing
nodes.97;POINT (167271.9953187476 5391093.595881032);crossing;
nodes.98;POINT (166807.4368197691 5390872.007302235);crossing;
nodes.99;POINT (166736.79347091168 5391089.389716634);crossing;
nodes.100;POINT (166873.21550687883 5390750.615543328);crossing;traffic_signals
nodes.101;POINT (166954.90174922295 5390546.672373494);crossing;
nodes.102;POINT (166821.8081660305 5390838.497000421);crossing;
nodes.103;POINT (166849.94973330304 5390770.73993964);crossing;
nodes.104;POINT (166922.84173587448 5390612.370872183);crossing;
nodes.105;POINT (166851.25217134535 5390744.153027169);crossing;traffic_signals
nodes.106;POINT (167227.82374480081 5391002.380875747);crossing;
nodes.107;POINT (167530.679551453 5391220.856283513);crossing;
nodes.108;POINT (167674.25943067818 5391300.099410221);crossing;
nodes.109;POINT (167865.46178806468 5391411.6734081665);crossing;
nodes.110;POINT (167038.46929096148 5390428.40090018);traffic_signals;
nodes.111;POINT (167152.83893580246 5390361.199430145);crossing;
nodes.112;POINT (167006.70984023815 5390446.437010406);crossing;traffic_signals
nodes.113;POINT (167082.8078441444 5390370.225090335);traffic_signals;
nodes.114;POINT (166901.6242409293 5390496.293606734);crossing;
nodes.115;POINT (167419.17081752536 5390637.760089729);crossing;
nodes.116;POINT (167251.87988676125 5392075.234870943);crossing;
nodes.117;POINT (167905.43661720853 5391092.383154604);crossing;
nodes.118;POINT (167246.28051637433 5390970.727544637);crossing;
nodes.119;POINT (168350.24703852032 5391197.507169168);crossing;
nodes.120;POINT (168345.2376614346 5391217.494375851);crossing;
nodes.121;POINT (166497.47882960428 5390639.61746569);crossing;uncontrolled
nodes.122;POINT (166855.46004809733 5390757.676730038);crossing;traffic_signals
nodes.123;POINT (166980.9505100686 5390494.850708859);crossing;traffic_signals
nodes.124;POINT (166971.7666520781 5390476.568905234);crossing;traffic_signals
nodes.125;POINT (167036.10931775667 5390429.53679034);crossing;traffic_signals
nodes.126;POINT (167028.87355085506 5390414.678130049);traffic_signals;
nodes.127;POINT (167025.95698019626 5390419.23703465);crossing;traffic_signals
nodes.128;POINT (167058.8407577766 5390371.023278392);crossing;traffic_signals
nodes.129;POINT (167075.71679258088 5390338.988361656);crossing;traffic_signals
nodes.130;POINT (167079.7465581476 5390368.475216753);crossing;traffic_signals
nodes.131;POINT (167375.7116883197 5390716.184660035);crossing;
nodes.132;POINT (167495.20202973718 5391729.255241926);crossing;uncontrolled
nodes.133;POINT (167457.10849998775 5391732.724799542);crossing;uncontrolled
nodes.134;POINT (167463.45371096296 5391775.802689497);crossing;uncontrolled
nodes.135;POINT (166310.80717549307 5390667.432099022);crossing;
nodes.136;POINT (167352.7576093181 5390761.145923739);crossing;
nodes.137;POINT (167336.82779018555 5390771.72236743);stop;
nodes.138;POINT (169520.90506760054 5391372.035931366);milestone;
nodes.139;POINT (169553.15432408333 5391392.929251013);milestone;
nodes.140;POINT (165967.59805342834 5391572.9115697425);turning_circle;
nodes.141;POINT (166867.93896301524 5390749.280058622);traffic_signals;
nodes.142;POINT (166701.73896326087 5391569.641644836);crossing;marked
nodes.143;POINT (166808.43869518623 5391430.939555168);crossing;marked
nodes.144;POINT (166029.68093344374 5391691.243713534);;
nodes.145;POINT (166036.01501246984 5391697.384499156);;
nodes.146;POINT (166112.62508603378 5391773.4231144395);;
nodes.147;POINT (166119.34878327773 5391779.640715072);;
nodes.148;POINT (166143.69435591422 5391801.39467409);;
nodes.149;POINT (166150.41805315815 5391808.548774809);;
nodes.150;POINT (166172.68195131674 5391844.10443033);;
nodes.151;POINT (166280.69525323345 5391905.63630176);;
nodes.152;POINT (166163.84318374778 5391999.055605581);;
nodes.153;POINT (166128.15415499947 5391988.416350552);;
nodes.154;POINT (166860.28018204865 5390746.747243327);;
nodes.155;POINT (166790.05984725626 5390721.2963256575);;
nodes.156;POINT (166771.31364500665 5390714.803129272);;
nodes.157;POINT (166738.1738325975 5390701.832100467);;
nodes.158;POINT (166470.6619642722 5390647.860535402);;
nodes.159;POINT (166305.49723578224 5390668.092160317);;
nodes.160;POINT (166273.3036390448 5390672.620489097);;
nodes.161;POINT (166101.6823800888 5390711.119048235);;
nodes.162;POINT (166164.2661978128 5390776.527054834);;
nodes.163;POINT (166393.92943926842 5390899.5309710875);;
nodes.164;POINT (166791.49586868752 5390909.785208834);;
nodes.165;POINT (166869.6866790207 5390934.991033107);;
nodes.166;POINT (166926.63773051053 5390954.3175915945);;
nodes.167;POINT (167049.46765665183 5390999.095801436);;
nodes.168;POINT (167065.23049654815 5391004.837006833);;
nodes.169;POINT (166989.81154153572 5390794.226132494);;
nodes.170;POINT (166982.17502446732 5390814.488778104);;
nodes.171;POINT (166976.7315013675 5390829.470883963);;
nodes.172;POINT (166971.08760318428 5390844.053899619);;
nodes.173;POINT (166954.07798499108 5390887.618876816);;
nodes.174;POINT (166934.63046994948 5390936.37259671);;
nodes.175;POINT (166476.41718194622 5390643.900176969);;
nodes.176;POINT (166444.43509224133 5390571.109704563);;
nodes.177;POINT (166438.21233270597 5390490.506666608);;
nodes.178;POINT (167108.7675493974 5390382.658412136);;
nodes.179;POINT (167015.65992729794 5390432.883062163);;
nodes.180;POINT (166351.34973403995 5391410.506694573);;
nodes.181;POINT (166400.19672660006 5391439.659226905);;
nodes.182;POINT (166487.69384636357 5391491.670397141);;
nodes.183;POINT (166537.24215171565 5391521.130218463);;
nodes.184;POINT (166665.03692714634 5391580.925193411);;
nodes.185;POINT (166673.44154870123 5391574.016896735);;
nodes.186;POINT (166681.3229686494 5391582.782758506);;
nodes.187;POINT (166707.67229212017 5391565.558078269);;
nodes.188;POINT (166788.6794855704 5391457.651251568);;
nodes.189;POINT (166823.78965296666 5391416.309560992);;
nodes.190;POINT (166829.06619683022 5391410.690912497);;
nodes.191;POINT (166952.3970606801 5391472.097091895);;
nodes.192;POINT (167082.49614957022 5391524.308016147);;
nodes.193;POINT (167090.3887014674 5391528.023124004);;
nodes.194;POINT (167166.06369130872 5391555.993942558);;
nodes.195;POINT (167232.61048290494 5391589.0002311645);;
nodes.196;POINT (167346.50145393552 5391658.191004862);;
nodes.197;POINT (167352.90232465614 5391662.0289817015);;
nodes.198;POINT (167406.07964540808 5391693.868898887);;
nodes.199;POINT (167459.51300098884 5391734.444226806);;
nodes.200;POINT (167470.9121168461 5391740.753913518);;
nodes.201;POINT (167224.77359075306 5391071.812882444);;
nodes.202;POINT (167390.3056735627 5391150.164372425);;
nodes.203;POINT (167425.12641028283 5391168.585665355);;
nodes.204;POINT (167440.98943772085 5391177.473952299);;
nodes.205;POINT (167513.7144610561 5391213.14999469);;
nodes.206;POINT (167519.3026994939 5391215.68293752);;
nodes.207;POINT (167669.82891494458 5391297.520390385);;
nodes.208;POINT (167702.21175481632 5391316.740245934);;
nodes.209;POINT (167886.25626894485 5391425.075273509);;
nodes.210;POINT (167915.27726019468 5391418.781153351);;
nodes.211;POINT (167921.9341657441 5391443.804144163);;
nodes.212;POINT (167754.5875752346 5391346.613998345);;
nodes.213;POINT (167868.70118524678 5391413.684454306);;
nodes.214;POINT (168215.66177415123 5391623.419007165);;
nodes.215;POINT (168242.79033405756 5391615.942660916);;
nodes.216;POINT (168261.75917528875 5391634.2574171685);;
nodes.217;POINT (168499.64892711394 5391683.813368376);;
nodes.218;POINT (168475.6150490517 5391677.887518864);;
nodes.219;POINT (168279.31425898685 5391642.961928436);;
nodes.220;POINT (168339.9722495201 5391643.299669779);;
nodes.221;POINT (168465.31799615332 5391635.485566411);;
nodes.222;POINT (168463.7595232822 5391662.996152114);;
nodes.223;POINT (168339.52697155692 5391653.4779714765);;
nodes.224;POINT (168279.31425898685 5391651.42081759);;
nodes.225;POINT (168258.50864615757 5391656.318072743);;
nodes.226;POINT (168480.36839130856 5391808.932578652);;
nodes.227;POINT (168697.93120411492 5392354.948031406);;
nodes.228;POINT (165013.2783227557 5390990.852419156);;
nodes.229;POINT (165188.04992330118 5390955.39214329);;
nodes.230;POINT (165310.42343953022 5390875.875654548);;
nodes.231;POINT (165316.94676169072 5390871.823095023);;
nodes.232;POINT (165345.23304430128 5390844.72932406);;
nodes.233;POINT (165412.0024748791 5390761.238026247);;
nodes.234;POINT (165463.0535933569 5390695.077962483);;
nodes.235;POINT (166920.59308216046 5392228.623922346);;
nodes.236;POINT (166947.2652321545 5392211.490157902);;
nodes.237;POINT (166981.35126023542 5392231.157142898);;
nodes.238;POINT (167321.71060333587 5392015.974042069);;
nodes.239;POINT (167333.43254571638 5392062.998860448);;
nodes.240;POINT (167273.44247212788 5392064.656938715);;
nodes.241;POINT (166910.26263341482 5392223.895245839);;
nodes.242;POINT (166638.25345766146 5392043.178707106);;
nodes.243;POINT (166570.12592929602 5391994.434513512);;
nodes.244;POINT (166989.9673888228 5392224.985297677);;
nodes.245;POINT (167033.22614294512 5392200.374721934);;
nodes.246;POINT (167083.57594863087 5392171.741788789);;
nodes.247;POINT (167177.57412665672 5392119.542567417);;
nodes.248;POINT (167258.0358546021 5392071.657716891);;
nodes.249;POINT (167281.0678572472 5392018.200154433);;
nodes.250;POINT (167265.59444802697 5392011.122654215);;
nodes.251;POINT (167223.89416677583 5391971.283030474);;
nodes.252;POINT (167211.5154393996 5391959.93759672);;
nodes.253;POINT (167162.735238534 5391912.268503927);;
nodes.254;POINT (166961.84808544844 5391765.532140878);;
nodes.255;POINT (166956.46022209406 5391762.446372893);;
nodes.256;POINT (166892.81886920755 5391725.923853756);;
nodes.257;POINT (166816.8433167411 5391690.476115619);;
nodes.258;POINT (166796.70562085664 5391681.525928606);;
nodes.259;POINT (166745.68789822605 5391658.544098664);;
nodes.260;POINT (166728.18847427334 5391650.269425691);;
nodes.261;POINT (166693.00038323356 5391619.842027613);;
nodes.262;POINT (166676.11321648027 5391589.859931417);;
nodes.263;POINT (167473.1051108147 5391756.58188134);;
nodes.264;POINT (167465.73576052417 5391772.271707374);;
nodes.265;POINT (167433.11914972175 5391826.019541855);;
nodes.266;POINT (167380.8657807434 5391914.156840132);;
nodes.267;POINT (167328.70146735766 5392003.323592994);;
nodes.268;POINT (166642.5503900061 5392033.107444818);;
nodes.269;POINT (166681.66805907086 5391955.807800874);;
nodes.270;POINT (166724.22550040114 5391885.632257793);;
nodes.271;POINT (166771.21345746497 5391801.256504817);;
nodes.272;POINT (166800.42369184914 5391729.838618779);;
nodes.273;POINT (166943.09075124978 5392051.269500441);;
nodes.274;POINT (166353.34235292516 5392160.994866221);;
nodes.275;POINT (166493.83868225536 5392233.337248413);;
nodes.276;POINT (166933.7621779213 5392275.5116441);;
nodes.277;POINT (166927.261119659 5392283.510522756);;
nodes.278;POINT (166530.71882955518 5392256.105564129);;
nodes.279;POINT (166575.45813290498 5392182.7804265255);;
nodes.280;POINT (166580.08902372202 5392172.4173100535);;
nodes.281;POINT (166612.7946901171 5392088.837280508);;
nodes.282;POINT (166634.45746302544 5392051.699372014);;
nodes.283;POINT (166955.2023118481 5392175.672095016);;
nodes.284;POINT (166975.117368751 5392171.204442364);;
nodes.285;POINT (166999.08445511878 5392163.389893599);;
nodes.286;POINT (167010.90658504103 5392159.536356263);;
nodes.287;POINT (167086.89326945654 5392116.840498084);;
nodes.288;POINT (167109.55791778205 5392052.436294751);;
nodes.289;POINT (166999.38501774392 5392053.603089206);;
nodes.290;POINT (167004.30533923698 5392050.885686556);;
nodes.291;POINT (167059.5643344668 5392020.395562324);;
nodes.292;POINT (167165.72973283633 5392011.721401316);;
nodes.293;POINT (167166.85405969332 5392010.462497206);;
nodes.294;POINT (167223.00361084947 5392062.937450144);;
nodes.295;POINT (166947.3988155435 5391918.455493098);;
nodes.296;POINT (166952.26347729116 5391920.789048396);;
