id;the_geom;type;flats;height;levels
buildings.41;MULTIPOLYGON (((165398.15433022438 5389429.071070667, 165399.501296063 5389425.326108095, 165407.78346617805 5389428.349704808, 165411.53493301777 5389417.943624829, 165405.2787776352 5389415.641396323, 165406.73706296456 5389411.574127364, 165409.13043201662 5389412.448973744, 165412.23624580973 5389403.930736186, 165406.57008372838 5389401.874081805, 165405.534812464 5389404.728840996, 165400.4141158875 5389402.84101627, 165398.61074013665 5389408.166831725, 165395.9168084595 5389407.153852181, 165393.1004253424 5389415.487914446, 165394.71455795888 5389416.055797415, 165392.47703619394 5389422.624824555, 165390.86290357742 5389422.072289382, 165389.42688214622 5389426.262348597, 165398.15433022438 5389429.071070667)));yes;1;0.0;0
buildings.42;MULTIPOLYGON (((164742.616112841 5390624.9580209125, 164738.6420070197 5390619.032848773, 164734.200359337 5390622.271737735, 164738.08540956568 5390628.304363329, 164742.616112841 5390624.9580209125)));yes;1;0.0;0
buildings.43;MULTIPOLYGON (((165411.53493301777 5389417.943624829, 165413.0154822453 5389413.876354859, 165409.13043201662 5389412.448973744, 165406.73706296456 5389411.574127364, 165405.2787776352 5389415.641396323, 165411.53493301777 5389417.943624829)));yes;1;0.0;0
buildings.44;MULTIPOLYGON (((164743.96307867958 5390630.62224342, 164746.11154485188 5390633.784385409, 164752.25638074367 5390629.363527012, 164750.0967826223 5390626.201386534, 164743.96307867958 5390630.62224342)));yes;1;0.0;0
buildings.45;MULTIPOLYGON (((167287.16816534268 5392194.1568388445, 167275.0566047444 5392200.574308374, 167276.3033830413 5392203.046110021, 167271.80607561325 5392205.410442651, 167276.42583448114 5392214.330430283, 167280.87861411288 5392212.012153838, 167281.37955182148 5392212.902617573, 167285.68761611514 5392210.67645841, 167289.31663151504 5392208.788061743, 167287.3351445789 5392204.980563947, 167291.63207692353 5392202.769759496, 167287.16816534268 5392194.1568388445)));yes;1;0.0;0
buildings.46;MULTIPOLYGON (((166594.56055752514 5390719.377531926, 166605.59231906274 5390727.88162877, 166608.6758689577 5390723.859834705, 166605.51439541916 5390721.204223551, 166598.63485088813 5390715.447843601, 166597.8890102998 5390714.849180293, 166594.56055752514 5390719.377531926)));yes;1;0.0;0
buildings.47;MULTIPOLYGON (((166938.31514509473 5391444.126526694, 166944.35979344483 5391446.87445444, 166945.66223148708 5391443.988362751, 166939.60645118792 5391441.240435861, 166938.31514509473 5391444.126526694)));yes;1;0.0;0
buildings.48;MULTIPOLYGON (((165210.4474048488 5390588.363235928, 165217.349213278 5390578.017253299, 165202.72183218773 5390568.16248534, 165192.65855022002 5390583.1902431715, 165200.09469220505 5390588.179034355, 165203.23390184538 5390583.497245626, 165210.4474048488 5390588.363235928)));yes;1;0.0;0
buildings.49;MULTIPOLYGON (((168970.55263706768 5390499.363602965, 168972.26695722586 5390471.365275029, 168945.67273087538 5390471.150375909, 168943.4574730086 5390497.506255125, 168970.55263706768 5390499.363602965)));yes;1;0.0;0
buildings.50;MULTIPOLYGON (((167864.5934960365 5390555.1609617155, 167858.14809751956 5390549.957287361, 167852.19250476215 5390557.386723025, 167849.0755590199 5390561.2856441215, 167845.43541167097 5390558.30772786, 167838.71171442705 5390566.719576264, 167849.55423283033 5390575.49983494, 167854.4745543234 5390569.329092835, 167862.75672443843 5390559.013831629, 167862.0108838501 5390558.415178431, 167864.5934960365 5390555.1609617155)));yes;1;0.0;0
buildings.51;MULTIPOLYGON (((167962.42106454566 5391213.042536528, 167972.90736057833 5391219.198356295, 167973.80904845375 5391217.66323876, 167963.4118080137 5391211.538122341, 167962.42106454566 5391213.042536528)));yes;1;0.0;0
buildings.52;MULTIPOLYGON (((166702.8076303725 5389196.609992707, 166700.4810530149 5389214.843227083, 166711.5239465016 5389216.270577753, 166713.8505238592 5389198.052688401, 166702.8076303725 5389196.609992707)));yes;1;0.0;0
buildings.53;MULTIPOLYGON (((166682.60314279352 5391106.521405466, 166687.25629750866 5391108.778001247, 166685.4640537069 5391112.677154441, 166694.02452254892 5391116.59166028, 166698.6442814168 5391106.705617346, 166702.77423452525 5391097.848100261, 166694.90394652614 5391094.133164939, 166693.14509857164 5391097.909504166, 166687.85742275897 5391095.207732853, 166682.60314279352 5391106.521405466)));yes;1;0.0;0
buildings.54;MULTIPOLYGON (((167478.337126882 5391846.223035872, 167477.93637671517 5391845.424720685, 167476.45582748757 5391846.16162701, 167474.2962293662 5391841.84765539, 167472.32587437917 5391842.830196794, 167472.45945776813 5391843.091184369, 167470.48910278108 5391844.089078118, 167468.374032456 5391839.882572898, 167466.10311484386 5391841.0339883715, 167465.8916078113 5391840.604126576, 167462.69673842555 5391842.216108404, 167462.90824545803 5391842.64597027, 167460.74864733667 5391843.735977242, 167467.3721570389 5391856.938888732, 167469.46496346578 5391855.879584677, 167469.27572033147 5391855.495778888, 167473.02718717113 5391853.592102412, 167474.15151402814 5391855.8335279785, 167481.33162118433 5391852.210401989, 167478.337126882 5391846.223035872)));yes;1;0.0;0
buildings.55;MULTIPOLYGON (((168320.05719261718 5391870.141819048, 168319.97926897364 5391875.653280408, 168323.84205530415 5391875.73004173, 168323.90884699865 5391870.172523558, 168320.05719261718 5391870.141819048)));yes;1;0.0;0
buildings.56;MULTIPOLYGON (((167660.56713331057 5391065.012421916, 167659.94374416216 5391066.086986452, 167675.38375753516 5391075.405001306, 167680.50445411168 5391066.885234473, 167676.34110515603 5391064.398385095, 167671.87719357517 5391071.85893524, 167660.56713331057 5391065.012421916)));yes;1;0.0;0
buildings.57;MULTIPOLYGON (((167026.2575428214 5389303.937956546, 167034.91819920516 5389304.01469656, 167039.49343027675 5389304.091436579, 167044.3135642281 5389298.980552876, 167037.44515164616 5389292.457657359, 167035.19649793213 5389294.85194318, 167030.35410008262 5389294.6984633, 167027.9941268778 5389291.935825916, 167024.93284088103 5389294.591027386, 167021.24816573577 5389294.452895501, 167019.9234637953 5389292.457657359, 167014.3129614593 5389292.150697681, 167013.91221129248 5389298.596853012, 167007.62266006263 5389305.196492883, 167016.77312220584 5389313.929511936, 167021.14797819403 5389309.309759181, 167018.66555354933 5389306.946165635, 167023.77511817674 5389301.528320377, 167026.2575428214 5389303.937956546)));yes;1;0.0;0
buildings.58;MULTIPOLYGON (((166769.7885679828 5391882.9763135305, 166761.2837588862 5391875.991030236, 166759.84773745495 5391877.741188635, 166759.41359144088 5391879.752335973, 166767.20595579638 5391886.138883087, 166768.35254655156 5391884.726473249, 166769.7885679828 5391882.9763135305)));yes;1;0.0;0
buildings.59;MULTIPOLYGON (((167243.68677223884 5391530.064898789, 167241.78320894626 5391533.304106329, 167238.79984659303 5391531.53866132, 167236.60685262442 5391535.376585679, 167245.4233562952 5391540.534758521, 167250.67763626066 5391531.431199459, 167252.0691298956 5391532.244839284, 167252.269504979 5391532.352301154, 167257.35680570823 5391523.525080385, 167246.20259273078 5391517.000618268, 167243.76469588242 5391521.14557014, 167241.86113258984 5391520.024897785, 167237.9649504121 5391526.702878891, 167240.70340988558 5391528.345509468, 167243.68677223884 5391530.064898789)));yes;1;0.0;0
buildings.60;MULTIPOLYGON (((167838.845297816 5389795.685677423, 167836.7970191854 5389798.049395657, 167844.18863337408 5389804.511251834, 167846.10332861578 5389802.25497375, 167838.845297816 5389795.685677423)));yes;1;0.0;0
buildings.61;MULTIPOLYGON (((166094.80283555778 5391014.231714253, 166093.45586971918 5391022.920292011, 166097.53016308224 5391023.549676938, 166098.87712892084 5391014.861098586, 166094.80283555778 5391014.231714253)));yes;1;0.0;0
buildings.62;MULTIPOLYGON (((169464.555141361 5390006.058962118, 169463.5310020457 5390006.933864635, 169462.7517656101 5390008.0390047785, 169462.20630010526 5390009.282287599, 169461.9391333273 5390010.633014805, 169462.03932086905 5390011.983742203, 169462.46233493404 5390013.273073087, 169463.11911992976 5390014.45495989, 169464.02080780515 5390015.437307474, 169465.17853050944 5390016.158719049, 169466.41417685724 5390016.680591287, 169467.7722746449 5390016.818733945, 169469.14150438164 5390016.69594047, 169470.4328104749 5390016.204766601, 169471.52374148465 5390015.452656658, 169472.837311476 5390014.009833672, 169473.1712699484 5390013.34981898, 169473.54975621705 5390012.029789735, 169473.6499437588 5390010.6790623255, 169473.43843672628 5390009.359033461, 169472.93749901775 5390008.100401459, 169472.81504757784 5390007.916211426, 169472.00241529508 5390006.857118798, 169470.96714403067 5390006.012914617, 169469.73149768286 5390005.414297153, 169467.86133023756 5390005.076615524, 169467.04869795474 5390005.138012182, 169465.7685238106 5390005.460344649, 169464.555141361 5390006.058962118)));yes;1;0.0;0
buildings.63;MULTIPOLYGON (((167120.2557208473 5392028.0564652635, 167123.69549311278 5392030.9887965275, 167126.03320241944 5392028.286753028, 167126.77904300776 5392028.916206275, 167129.15014816166 5392026.122048294, 167124.88661166426 5392022.59097074, 167120.2557208473 5392028.0564652635)));yes;1;0.0;0
buildings.64;MULTIPOLYGON (((166458.8175704518 5390080.625512113, 166461.12188391123 5390082.175790516, 166468.3799147109 5390071.139655842, 166466.12012904783 5390069.543331469, 166458.8175704518 5390080.625512113)));yes;1;0.0;0
buildings.65;MULTIPOLYGON (((166279.2369679041 5390485.011379334, 166274.31664641105 5390495.602857723, 166275.94191097663 5390496.293606734, 166275.1292786938 5390497.168555557, 166276.9215224956 5390504.413748976, 166279.78243340898 5390503.569499449, 166283.8233309248 5390502.402900235, 166282.97730279475 5390495.787057454, 166279.2369679041 5390485.011379334)));yes;1;0.0;0
buildings.66;MULTIPOLYGON (((167116.28161502595 5391834.18690647, 167111.73977980157 5391841.325680313, 167115.19068401618 5391843.490341855, 167119.65459559698 5391836.382270744, 167116.28161502595 5391834.18690647)));yes;1;0.0;0
buildings.67;MULTIPOLYGON (((167241.8277367426 5390282.133180863, 167247.0374889117 5390279.984233793, 167246.26938442522 5390278.341824579, 167251.60158803425 5390275.870536498, 167254.9189088599 5390274.350924902, 167255.80946478626 5390276.25427684, 167256.23247885125 5390277.205952959, 167259.93941789467 5390275.502145785, 167264.84860743865 5390273.245752987, 167259.21584120454 5390260.920025152, 167236.85175550415 5390270.9893607395, 167241.8277367426 5390282.133180863)));yes;1;0.0;0
buildings.68;MULTIPOLYGON (((166925.44661195905 5390965.953458011, 166920.9604364801 5390976.514784778, 166917.85462268695 5390975.179267499, 166919.4910192016 5390971.356926014, 166908.6596327474 5390966.736346648, 166902.92667897156 5390980.214322144, 166913.75806542576 5390984.834908233, 166916.35180956125 5390978.709945776, 166919.45762335436 5390980.04546356, 166918.3666923446 5390982.639745783, 166932.18144115203 5390988.503747339, 166939.2613607665 5390971.863501302, 166925.44661195905 5390965.953458011)));yes;1;0.0;0
buildings.69;MULTIPOLYGON (((168438.25622794146 5390436.551682662, 168440.62733309536 5390424.870431648, 168432.2004476423 5390423.135897604, 168432.76817704536 5390420.28082457, 168433.10213551775 5390417.609950595, 168423.18356888808 5390415.568421007, 168422.61583948502 5390418.269994092, 168422.0815059292 5390421.14041636, 168417.29476782508 5390420.158025749, 168417.28363587603 5390420.158025749, 168416.57119113492 5390423.9033905035, 168415.55818376874 5390429.245142852, 168420.9126512759 5390430.503832072, 168424.6752500647 5390431.378774681, 168426.70126479713 5390429.78238823, 168428.82746707127 5390430.212184557, 168427.94804309402 5390434.433399522, 168438.25622794146 5390436.551682662)));yes;1;0.0;0
buildings.70;MULTIPOLYGON (((168502.56549777274 5392290.833878371, 168496.91046764044 5392281.007993758, 168489.44092980822 5392285.337522881, 168490.11997870207 5392286.535052569, 168494.5059666393 5392284.00181687, 168496.36500213557 5392287.241288103, 168497.9123430576 5392286.350817226, 168501.00702490166 5392291.739702634, 168502.56549777274 5392290.833878371)));yes;1;0.0;0
buildings.71;MULTIPOLYGON (((167503.22816502338 5390662.4739656625, 167504.9424851816 5390667.708403744, 167510.18563319795 5390665.973824228, 167508.4379171925 5390660.708686622, 167503.22816502338 5390662.4739656625)));yes;1;0.0;0
buildings.72;MULTIPOLYGON (((166729.7246832463 5390825.940262574, 166726.96395987464 5390832.57169169, 166741.45775757593 5390838.681206971, 166743.92905027154 5390832.986156166, 166729.7246832463 5390825.940262574)));yes;1;0.0;0
buildings.73;MULTIPOLYGON (((165618.42220665704 5390860.171996268, 165619.73577664842 5390858.60623708, 165611.89888449654 5390852.189697283, 165610.60757840337 5390853.786156528, 165618.42220665704 5390860.171996268)));yes;1;0.0;0
buildings.74;MULTIPOLYGON (((166064.84676058532 5391535.837136711, 166059.4143694346 5391538.846070669, 166063.64451008473 5391546.491223594, 166069.36633191153 5391543.328770014, 166068.69841496678 5391542.1159847025, 166070.69103385197 5391541.026013229, 166071.34781884763 5391542.192743264, 166084.27201172875 5391535.05419997, 166077.6707659247 5391523.033826605, 166073.57420866351 5391525.321227234, 166074.27552145548 5391526.656823833, 166063.17696822344 5391532.782148639, 166064.84676058532 5391535.837136711)));yes;1;0.0;0
buildings.75;MULTIPOLYGON (((167788.2839850977 5390775.4985752115, 167786.45834544871 5390767.43959705, 167781.10387794155 5390768.667631365, 167782.92951759056 5390776.726610594, 167788.2839850977 5390775.4985752115)));yes;1;0.0;0
buildings.76;MULTIPOLYGON (((167791.55677812704 5392026.075990753, 167793.68298040118 5392029.45354444, 167789.4639717001 5392032.124883231, 167790.04283305226 5392033.061387242, 167786.21344256896 5392035.487086599, 167787.19305408793 5392037.037692214, 167790.46584711727 5392042.226849529, 167796.0874814023 5392038.665060763, 167797.60142647708 5392041.060056507, 167800.4178095942 5392045.542998925, 167805.31586718906 5392042.441785105, 167803.77965821614 5392040.00073139, 167808.44394488036 5392037.037692214, 167805.60529786514 5392032.5394013915, 167800.71837221933 5392035.6406118935, 167799.52725366782 5392033.752250918, 167799.29348273718 5392033.905776188, 167798.12462808384 5392032.063473137, 167804.09135279033 5392028.286753028, 167802.7666508499 5392026.168105836, 167803.13400516953 5392025.937818127, 167801.2193099279 5392022.882668396, 167800.85195560826 5392023.112956028, 167799.52725366782 5392021.025015034, 167797.89085715316 5392022.068985474, 167791.55677812704 5392026.075990753)));yes;1;0.0;0
buildings.77;MULTIPOLYGON (((168016.41101758037 5391422.097079535, 168021.32020712434 5391407.712723149, 168006.88206916844 5391402.830950925, 168002.06193521712 5391417.230651234, 168016.41101758037 5391422.097079535)));yes;1;0.0;0
buildings.78;MULTIPOLYGON (((166859.32283442785 5389957.340836374, 166860.99262678975 5389955.698484358, 166854.34685318937 5389948.71465429, 166852.63253303117 5389950.341655989, 166859.32283442785 5389957.340836374)));yes;1;0.0;0
buildings.79;MULTIPOLYGON (((166784.9836784761 5391322.865431922, 166788.02270057474 5391316.371813823, 166783.77029602643 5391314.391491479, 166780.76466977503 5391320.885108189, 166784.9836784761 5391322.865431922)));yes;1;0.0;0
buildings.80;MULTIPOLYGON (((167626.46997328062 5390342.595546075, 167626.53676497508 5390341.475016298, 167615.9057536043 5390341.244770466, 167615.83896190987 5390345.158950323, 167615.19330886324 5390345.143600592, 167615.02632962706 5390356.870800317, 167625.89111192845 5390357.131746032, 167625.89111192845 5390357.684336972, 167631.6574615516 5390357.822484716, 167632.002551973 5390342.856491384, 167626.46997328062 5390342.595546075)));yes;1;0.0;0
buildings.81;MULTIPOLYGON (((165873.84477828222 5391478.882499694, 165876.30493902875 5391480.172034769, 165881.06941323468 5391470.592635635, 165878.5981205391 5391469.349156666, 165873.84477828222 5391478.882499694)));yes;1;0.0;0
buildings.82;MULTIPOLYGON (((168506.38375630695 5391329.190189623, 168526.9778621037 5391323.571593976, 168524.19487483386 5391313.3168981355, 168513.89782193548 5391316.126192425, 168513.76423854654 5391315.6503009815, 168503.4671856482 5391318.474947319, 168503.9347275095 5391320.17894634, 168499.69345491027 5391321.345648551, 168501.66380989732 5391328.606838, 168505.91621444563 5391327.45548623, 168506.38375630695 5391329.190189623)));yes;1;0.0;0
